filename,emotion
AaNPkSWFpbenzOqe.mp4,3
AazOpsowGFKoteUW.mp4,5
cHwZTRgINHorDQrw.mp4,4
csXEgkPuJyFCcwKh.mp4,4
dOcYcrPrATRWCwlG.mp4,5
eIVUEUpJaqkzaiYg.mp4,6
ETYdHkWZMWDtwysl.mp4,3
eueQqrXnJjcMhLRu.mp4,4
fVVfFRGBaCdeqwsM.mp4,4
FzNnhOlsqYMupcnt.mp4,4
GuZArELlIcNiIPfm.mp4,3
gVZDbfgrtZGbyyls.mp4,2
gXEwIIakIoksxqdU.mp4,3
HFXSfGyLgzkPDJEH.mp4,4
HipGqhvaGKsgFKRW.mp4,0
IOXHlnqCdwVsLXtc.mp4,4
iQIQNWUySTMWEbPW.mp4,6
iqJyIVMNehrDLnrB.mp4,6
IqsbrKVqthXPaCiz.mp4,3
JEvrOyaZqxfeZygN.mp4,2
KGVqBaTSYbPmZUFh.mp4,3
LIXiygCKLnMvgCUj.mp4,4
LOZTgnDsTTDMerBB.mp4,5
mBQAMNWyqJOsvpEV.mp4,3
miNCwpEjtiIlldEu.mp4,4
mxTcnZLZuzTupEtx.mp4,3
MZDDIEDmGBsAOhyb.mp4,6
NIkMjprnDlxUOSRv.mp4,0
peOLaRnchVIRlmRk.mp4,5
pFtcywZlAoEeAasW.mp4,4
pUBsNVYDCSDhsbig.mp4,3
RLQnwJMlTMHNUFUL.mp4,6
RUGhtPfhsXCXzWuz.mp4,3
SBLhBXbwAGARmBUr.mp4,3
tiKTGiansGWeSvFr.mp4,6
tkelbAQxDgwCUYmR.mp4,3
tnIEEcWgEKnsTvBX.mp4,3
UGiBeoRnamOBrBvh.mp4,2
ULetdiKMvayihzoA.mp4,3
vpcfttbeEZNhoJHK.mp4,4
wknrvJcAhCRKONBl.mp4,3
XBxlloBhDymamqij.mp4,4
xNZUdycAftNdROFH.mp4,4
YQPJPubkOIWpxVJF.mp4,2
ZkWYeItXUCNjJBoM.mp4,3
